Date,Open,High,Low,Close,Volume,Adj Close
2013-12-30,65.60,69.14,63.63,68.95,2075400,68.95
2013-12-23,68.00,69.24,65.80,65.92,1391300,65.92
2013-12-16,64.35,68.46,63.03,68.01,2563200,68.01
2013-12-09,63.20,65.99,62.25,64.05,2244400,64.05
2013-12-02,60.06,63.72,58.42,62.86,2618300,62.86
2013-11-25,62.60,62.97,56.65,60.69,3775100,60.69
2013-11-18,70.44,71.00,60.75,62.39,3244000,62.39
2013-11-11,62.40,71.00,61.21,70.77,2927000,70.77
2013-11-04,67.35,71.87,60.42,63.38,4430000,63.38
2013-10-28,69.50,69.93,62.68,67.15,6145300,67.15
2013-10-21,75.00,75.37,65.03,68.00,3130600,68.00
2013-10-14,65.95,74.95,65.51,74.89,2936800,74.89
2013-10-07,72.07,72.27,60.83,67.33,3940700,67.33
2013-09-30,66.50,73.45,65.03,73.22,3563600,73.22
2013-09-23,69.13,69.94,63.50,68.05,3147600,68.05
2013-09-16,64.29,71.50,61.39,70.02,3962700,70.02
2013-09-09,62.75,66.24,60.95,62.91,3262000,62.91
2013-09-03,52.65,64.39,51.62,62.40,5027700,62.40
2013-08-26,51.60,54.69,50.20,51.98,2633600,51.98
2013-08-19,49.73,52.98,49.00,51.83,2031600,51.83
2013-08-12,51.41,53.36,46.96,50.13,3491800,50.13
2013-08-05,57.02,57.04,50.55,51.85,4655300,51.85
2013-07-29,42.00,59.35,40.31,57.02,6238600,57.02
2013-07-22,42.23,42.84,39.24,42.10,1621800,42.10
2013-07-15,39.02,42.30,38.20,42.13,1755500,42.13
2013-07-08,35.21,40.59,34.62,39.40,1857400,39.40
2013-07-01,34.71,36.01,33.93,34.99,1101800,34.99
2013-06-24,30.38,36.14,29.26,34.77,2169000,34.77
2013-06-17,31.33,33.00,30.23,31.24,1307100,31.24
2013-06-10,30.04,31.10,28.85,30.84,748100,30.84
2013-06-03,29.63,30.18,26.75,30.11,1291500,30.11
2013-05-28,29.47,30.55,29.47,29.81,796300,29.81
2013-05-20,30.80,32.88,28.15,29.34,2106300,29.34
2013-05-13,31.01,31.99,29.75,30.79,2176100,30.79
2013-05-06,30.79,31.60,29.30,30.93,1703300,30.93
2013-04-29,25.60,32.80,25.17,31.12,3377600,31.12
2013-04-22,25.61,26.24,24.75,25.45,665200,25.45
2013-04-15,26.75,27.00,25.03,25.50,735400,25.50
2013-04-08,25.46,27.30,24.10,26.96,1061600,26.96
2013-04-01,23.65,25.88,22.48,25.70,1156000,25.70
2013-03-25,23.93,24.46,23.13,23.71,795000,23.71
2013-03-18,24.77,25.12,23.61,23.79,779100,23.79
2013-03-11,24.85,25.46,23.51,25.10,1116300,25.10
2013-03-04,22.90,25.20,22.51,25.01,1698400,25.01
2013-02-25,22.22,23.12,20.94,23.01,1199400,23.01
2013-02-19,21.94,22.58,21.36,22.18,795100,22.18
2013-02-11,21.72,22.22,21.05,21.96,1037300,21.96
2013-02-04,20.50,22.96,20.10,21.85,1612000,21.85
2013-01-28,21.21,21.67,20.10,20.47,754000,20.47
2013-01-22,20.30,21.30,19.82,21.17,962800,21.17
2013-01-14,22.13,22.29,19.45,20.30,1642600,20.30
2013-01-07,21.33,22.44,20.02,22.12,929400,22.12
2013-01-02,19.17,21.62,19.13,21.52,1583000,21.52
